,Summary,Text
2065,Ancient trees at risk from out-of-control blazes,"As the Windy Fire burns in the Sequoia National Forest near Johnsondale, California in the United States, hundreds of firefighters are battling to protect groves of giant sequoias amid warnings that the enormous ancient trees are at risk from out-of-control blazes.

The Sequoia National Forest is named for the majestic giant sequoia, also known as giant redwood. The species is listed as endangered by the International Union for Conservation of Nature."
2066,Hulunbuir series | Episode 3: Homeland of Rivers,"Hulunbuir, one of the world's four largest grasslands, boasts the largest and most complete ecosystem in China. As the ancient poem goes, ""Under the vast sky is the boundless wild. The wind bends the grasses low, where cows and sheep show."""
2067,Bird lover's journal: The beauty lies in uncertainties,"Fang Qiaoran from south China's Shenzhen City is on the move again! Obviously, the ardent bird lover could not let this year's autumn migration season pass without venturing out and pressing the shutter. This time, together with three teammates, she planned a five-day trip, September 14-18, in Shanghai and east China's Jiangsu Province, where the beaches offer an important stopover on birds' southward journey. But the journey was postponed and reduced by one day by Typhoon Chanthu, leaving them four days on their main business.

A bay in Jiangsu Province, east China. /Fang Qiaoran A bay in Jiangsu Province, east China. /Fang Qiaoran

Despite the limited time and the aftermath of the powerful cyclone, she was still able to add six new names to her personal record of 957 bird species. That, according to her, is not a big number in the world of skilled bird watchers.

Oriental cuckoo. /Fang Qiaoran Oriental cuckoo. /Fang Qiaoran

Kamchatka leaf warbler. /Fang Qiaoran Kamchatka leaf warbler. /Fang Qiaoran

Sakhalin leaf warbler. /Fang Qiaoran Sakhalin leaf warbler. /Fang Qiaoran

Nordmann's greenshank. /Fang Qiaoran Nordmann's greenshank. /Fang Qiaoran

Northern hawk-cuckoo. /Fang Qiaoran Northern hawk-cuckoo. /Fang Qiaoran

Two-barred warbler. /Fang Qiaoran Two-barred warbler. /Fang Qiaoran

In case you are wondering how she has managed to do that, here is her travel history in the past two years: 81 travels and 36 cities.

Fang Qiaoran's travel history from 2019 to present. /Phone screenshot Fang Qiaoran's travel history from 2019 to present. /Phone screenshot

""Leaf warblers are a big headache for bird watchers. For example, Kamchatka leaf warblers look almost identical to Arctic warblers. The only way you can tell their difference is through their calls,"" Fang wrote in her regularly-updated essays to record the trips.

Birds at Tiaozini Wetland of Jiangsu Province, east China. /Fang Qiaoran Birds at Tiaozini Wetland of Jiangsu Province, east China. /Fang Qiaoran

Now imagine yourself looking at the beach in the above photo, would you be able to recognize one endangered bird species from these white and black dots? Well, she can!

A spoon-billed sandpiper, an endangered bird species, is in the red circle. /Fang Qiaoran A spoon-billed sandpiper, an endangered bird species, is in the red circle. /Fang Qiaoran

""I guess I'm not bad. I don't see myself as very diligent,"" she told CGTN. ""The majority of skilled birdwatchers in the country have a personal record of over 500 bird species. If you are over 900, that means you've been to most places in the country. But it takes more than that to reach 1,000, considering the fact that only no more than 800 bird species are pretty easy to spot in the country. People with a record over 1,000 often travel around just to see a single bird species."" The retiree took up birdwatching as a hobby to kill time after retirement in 2018, which is not uncommon among birdwatchers. When asked whether she feels tired of the frequent trips, she said she has only found herself wanting to go out more and more. Staying at home has become a dread to her. ""Every day is different! The birds can come and go at any moment during the migration season. You can never predict what birds you'll see that you like today. The only thing you can do is to pray that the birds stay longer. Or, you could stay put and wait, no matter how long that's going to take. Otherwise, you could only hope that you are lucky enough. But that's the beauty of it!"" More photos from this trip:

A Eurasian oystercatcher. /Fang Qiaoran A Eurasian oystercatcher. /Fang Qiaoran

A Far Eastern curlew (L) and a Eurasian curlew. /Fang Qiaoran A Far Eastern curlew (L) and a Eurasian curlew. /Fang Qiaoran

A Japanese paradise flycatcher in Shanghai. /Fang Qiaoran A Japanese paradise flycatcher in Shanghai. /Fang Qiaoran

A Japanese paradise flycatcher in Shanghai. /Fang Qiaoran A Japanese paradise flycatcher in Shanghai. /Fang Qiaoran

A grey nightjar. /Fang Qiaoran A grey nightjar. /Fang Qiaoran

A pair of common greenshanks ""tangoing."" /Fang Qiaoran A pair of common greenshanks ""tangoing."" /Fang Qiaoran"
2068,Autumn equinox explained through paintings,"If you stand on the equator and look up, the sun will be directly above you on two days of the year – one in March and the other September 23.

Watch this video from Weather China, the China Meteorological Administration's online weather service, to find out more about the special day.

(Video and cover images provided by China Meteorological Administration)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2069,Endangered monkeys thrive amid harmony with human guardians in S China,"A team of forest rangers has dedicated years to protecting white-headed langurs, with their conservation efforts helping to ensure a thriving population of the critically endangered species in a nature reserve in south China's Guangxi Zhuang Autonomous Region.



About 90 percent of white-headed langurs live in four regions of the Guangxi Chongzuo National Nature Reserve. Each family occupies a cluster of hills, with tree leaves being their primary source of food.

The animal was listed as critically endangered by the International Union for Conservation of Nature and it is classified as a first-class state protected animal in China.



In 1982, Chongzuo's local wildlife sector established a protection station to conduct routine observation of the rare primates in the mountainous areas. Back then, 19-year-old Tang Lifeng became one of the first pioneering members of the patrol team.

""When we were patrolling and couldn't see any of the monkeys sometimes, we would imitate their sounds and they would then respond immediately, so that we could find them and see how many of them there were,"" said Tang.



About a decade later, China launched six national-level forestry projects of natural forest and wildlife protection, which paved the way for the rebound of a number of white-headed langur groups. While helping set up a comfortable habitat for the monkeys to thrive, Tang also explored ways to gain trust from the intelligent creatures.



""We take it slow when building up connections with them. They won't run away and are very friendly to us. They know well that we won't hurt them so they never run from us,"" Tang said.



The ranger team at the nature reserve has expanded in recent years, with up to 50 members now. Following long-term monitoring of white-headed langurs in the reserve, the rangers have mapped out the distribution areas of the over 130 subgroups of the monkey and documented separate files for them.



The reserve has been exploring feasible ways to solve habitat fragmentation caused by existing farmlands and roads spreading beneath the hills. Habitat fragmentation is likely to intensify inbreeding, lowering the genetic diversity of the species, the head of the reserve said.



The reserve, therefore, built two ""corridors,"" which were constructed with reinforced concrete and rails to prevent monkeys from being hit by vehicles, while using plants favored by the monkeys to guide their migration.



""We hope to create a better and better living environment for the white-headed langurs. With generations of efforts, we hope to keep increasing the population of the monkey and let our offspring still be able to see the white-headed langurs,"" said Meng Yuning, another staff member of the nature reserve.



The population of white-headed langurs in Chongzuo has surged from around 300 in the 1980s to more than 1,300, according to the latest data from the National Forestry and Grassland Administration.

(Cover image is a screenshot)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2070,COP15 meeting set for Oct. 11 in SW China's Kunming,"The first part of the 15th meeting of the Conference of the Parties to the UN Convention on Biological Diversity (COP15) is scheduled to be held from October 11 to 15 in Kunming, southwest China's Yunnan Province, said China's Ministry of Ecology and Environment on Thursday.

A declaration is expected to be issued to call on all parties to take actions for building a shared future for all life on Earth.

The second part of the COP15 will be held in the first half of 2022, according to the ministry.

(Cover: City view of Kunming, Yunnan Province, southwest China. /CFP)"
2071,Hulunbuir series | Episode 2: Swan Goose,"The swan goose's population is about 30,000 across the globe, one-third of which return to the Hulunbuir Grassland as promised.

Being recognized as one of the world's four largest grasslands, Hulunbuir boasts the largest and most complete ecosystem in China. As the ancient poem goes, ""Under the vast sky is the boundless wild. The wind bends the grasses low, where cows and sheep show."""
2072,6.0 magnitude earthquake rocks Melbourne,"A magnitude 6.0 earthquake struck near Melbourne, Australia on Wednesday, one of the country's biggest quakes on record.

The quake causing damage to buildings in the country's second-largest city and sending tremors throughout neighboring states.

Check out The China Report, our new weekly newsletter. Subscribe here!"
2073,Volcanic eruption sends lava through village in La Palma,Harrowing drone footage shows the moment the Cumbre Vieja Volcano erupted and the moment molten rock and flowing lava burned through homes in a village in Spain's Canary Islands.
2074,Wildfires put record amounts of CO2 in the atmosphere,"Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Click to see more

Wildfires burning around the world contributed to record levels of carbon dioxide in the air this summer, according to a European Union Earth monitoring service.

The fires emitted more than 2.5 billion tons of CO2 into the air in July and August, reports the Copernicus Atmosphere Monitoring Service (CAMS).

More than half of those emissions came from North America and Siberia."
2075,Family of finless porpoises swims in central China's Hubei,"On September 20, 2021, a family of Yangtze finless porpoises was spotted swimming in the river near the Gezhouba Dam in Yichang City, central China's Hubei Province. This subspecies can only be found in the Yangtze River, which flows through areas including Hubei, Jiangsu, Jiangxi and Hunan provinces. Facing the threat of extinction, it has been placed under first-class state protection in China and is listed as ""Critically Endangered"" on the IUCN Red List. Thanks to the efforts of many authorities, the population decline of the species has been controlled in recent years."
2076,"Toxic gas, new rivers of molten lava endanger Spanish island","As a new volcanic vent blew open and unstoppable rivers of molten rock flowed toward the sea, authorities on a Spanish island warned Tuesday that more dangers lie ahead for residents, including earthquakes, lava flows, toxic gases, volcanic ash and acid rain. Several small earthquakes shook the island of La Palma in the Atlantic Ocean off northwest Africa on Tuesday, keeping nerves on edge after a volcanic eruption on Sunday. The island, with a population of 85,000, is part of the Canary Islands archipelago, a key tourist destination for Europeans.

Authorities said the new fissure demonstrated that the area was unstable and unsafe and kept people at least 2 kilometers away. The rivers of lava, up to six meters high, rolled down hillsides, burning and crushing everything in their path as they gradually closed in on the island's more densely populated coast. One was bearing down on Todoque, where more than 1,000 people live and where emergency services were preparing evacuations. So far, the eruption has destroyed around 190 houses and forced the evacuation of 6,000 people. ""The truth is that it's a tragedy to see people losing their properties,"" said municipal worker Fernando Díaz in the town of El Paso.

The lava's advance has slowed to about 120 meters an hour, according to the head of the Canary Island Volcanic Emergency Plan, Miguel Ángel Morcuende, and wasn't expected to reach the Atlantic Ocean before Wednesday. Canary Islands government chief Ángel Víctor Torres said ""when (the lava) reaches the sea, it will be a critical moment."" The meeting of the lava, whose temperature exceeds 1,000 degrees Celsius, with a body of water could cause explosions and produce clouds of toxic gas. Torres asked locals to remember the island's last eruption in 1971, when one person died after inhaling the gas emitted as lava met the water. A change in the wind direction blew the ashes from the volcano across a vast area on the western side of the island, with the black particles blanketing everything. Volcanic ash is an irritant for the eyes and lungs. The volcano has also been spewing out between 8,000 and 10,500 tonnes of sulfur dioxide – which also affects the lungs – every day, the Volcanology Institute said. Adding to the dangers, the emergence of new cracks in the earth spewing lava cannot be ruled out, said Nemesio Pérez, head of the Canary Islands Volcanology Institute, who noted there is ""important superficial seismic activity in the area.""

The new fissure that appeared Monday night is 900 meters north of the Cumbre Vieja ridge, where the volcano first erupted Sunday after a week of thousands of small earthquakes. That earthquake swarm warned authorities that an eruption was likely and allowed many people to be evacuated, avoiding casualties. The new fissure opened after what the Canary Islands Volcanology Institute said was a magnitude-3.8 quake. Scientists say the lava flows could last for weeks or months. Torres described the lava-hit region as a ""catastrophe zone"" and said he would request money to rebuild roads, water pipes and create temporary accommodations for families who have lost their homes and farmland. Spain's King Felipe VI and Queen Letizia are to visit the area on Thursday.

(Images via VCG) (If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)

Source(s): AP"
2077,Critically endangered baby Siamese crocodiles seen in Cambodia,"Eight baby Siamese crocodiles, one of the world's rarest crocodile species, have been found in a wildlife sanctuary in eastern Cambodia. Cambodia's environment ministry said the discovery could become a milestone as it could be used to reverse biodiversity loss and aid in the restoration of globally significant wildlife.

Siamese Crocodile (Crocodylus siamensis) has been listed as ""critically endangered"" on the International Union for Conservation of Nature (IUCN) Red List of Threatened Species. It was once a common species across Southeast Asia but suddenly disappeared during the early 1990s. According to IUCN, global populations have been severely reduced, almost certainly by over 80 percent in the past 75 years, principally due to hunting."
2078,World Rhino Day: Keep the giants alive,"Our planet is home to five rhino species – the black rhino and the white rhino, which live in Africa, and the Sumatran, Javan and Indian rhinos, which inhabit Asia's tropical forests and swamps. World Rhino Day is celebrated on September 22 every year to call for public attention to this giant endangered creature.

Talking about rhinos, many people think of their horns. Their name ""rhinoceros"" even comes from Ancient Greek words, meaning ""nose horn."" Sadly, their iconic horns bring harm to them by making them the target of poachers. Rhino horns are either made into luxurious decorations or used in traditional medicine, even though they are made of the same substance found in our fingernails.

It's estimated that there are now less than 29,000 rhinos left in the wild, compared to 500,000 at the beginning of the 20th century, according to Save the Rhino International. The population of Sumatran rhino and Javan rhino are even both below 80.

More about rhinos:

Ten things you might not know about rhinos

What will be the fate of Asian rhinos?

Keep the five rhino species alive"
2079,Hulunbuir series | Episode 1: Hulunbuir Grassland,"About 1,500 years ago, nomadic people living in north China created the ""Song of Chile,"" vividly portraying the view of the vast grassland with cattle grazing on lush pastures.

Being recognized as one of the world's four largest grasslands, Hulunbuir boasts the largest and most complete ecosystem in China. As the ancient poem goes, ""Under the vast sky is the boundless wild. The wind bends the grasses low, where cows and sheep show."""
2080,Activists protest construction of new gas station,"There was a time when residents in California say they didn't worry about climate change.

But wildfires, high temperatures and water shortages have changed the way people think.

Some activists on the West Coast have their sights set on stemming another piece of the environmental puzzle – gas stations."
2081,IGAD: Horn of Africa's hunger crisis to worsen amid prolonged drought,"FILE PIC: The Horn of Africa region could experience widespread hunger and malnutrition in the last quarter of this year amid a prolonged dry spell, the Intergovernmental Authority on Development (IGAD) said on Tuesday. /AFP

FILE PIC: The Horn of Africa region could experience widespread hunger and malnutrition in the last quarter of this year amid a prolonged dry spell, the Intergovernmental Authority on Development (IGAD) said on Tuesday. /AFP

The Horn of Africa region could experience widespread hunger and malnutrition in the last quarter of this year amid a prolonged dry spell, the Intergovernmental Authority on Development (IGAD) said on Tuesday.

According to IGAD's latest analysis on the escalating food insecurity in the region, about 36.7 to 37.2 million people will likely grapple with acute hunger in the near future due to shocks linked to conflicts, extreme weather events, and the COVID-19 pandemic.

Workneh Geneyehu, executive secretary of IGAD said the Horn of Africa region comprises 20 percent of the highly food insecure global population, hence the need for urgent interventions to avert a humanitarian crisis.

""There is a need for us to initiate a paradigm shift to a longer-term view that inspires us to come up with coherent, coordinated, and cost-effective development investments that target the root causes of food crises in our region,"" Geneyehu said in a statement issued in Nairobi.

He noted that the latest weather forecast in the region points to a drier than usual October to December season, leading to crop failure, water stress and competition for pasture among herders.

Three countries in the Horn of Africa region including Sudan, Ethiopia and South Sudan are currently among the ten worst global food insecurity hotspots, according to IGAD analysis.

In addition, nearly 79 percent of IGAD region's population facing severe hunger crisis is from the three countries, with Sudan, Ethiopia and South Sudan accounting for 9.6 million, 8.6 million and 6.5 million respectively.

David Phiri, Food and Agriculture Organization of the United Nations (FAO) sub regional coordinator for Eastern Africa said that governments should invest in climate-resilient farming systems, extension services, peacebuilding and early warning to limit the impact of recurrent droughts on livelihoods.

""Market access, anticipatory and emergency humanitarian response to crises must remain at the core of our collective response to build and protect farmer's resilience to shocks,"" said Phiri.

Michael Dunford, World Food Program Regional Director for Eastern Africa said there was an urgency to extend support to vulnerable communities affected by food and water scarcity."
2082,"Before a giant sinkhole, scientists warm up with a small one","To collect seeds of two critically endangered plants, Petrocosmea grandiflora and Elaeagnus bambusetorum, researchers from the Kunming Institute of Botany need to enter a giant karst sinkhole in Mengzi City, southwest China's Yunnan Province. But the complex topographic condition, coinciding with recent heavy rains, has posed great challenges to the team. To familiarize themselves with the terrain, the expedition team began with a smaller sinkhole instead.

Check the video and see how the Chinese scientists ""warm up"" before the real task.

For more:

Scientists collect rare plant seeds from sinkholes in SW China

(Cover image is a screenshot)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2083,Mating tarantulas bring visitors from across U.S.,"It’s a phenomenon that’s caught on in just in the past few years: people from all over the U.S. come to S.E. Colorado at this time of year to observe tarantulas “migrating” during their mating season.

Just before sunset every evening, male tarantulas emerge in search of females whom they attempt to lure out of their burrows.

Visitors, now lured by the La Junta, CO tourism office, drive and hike in search of the world’s largest spiders in the vast Colorado grassland.

Check out The China Report, our new weekly newsletter. Subscribe here!"
2084,More wildfire conditions threaten northern California,"More fire weather conditions are on the way for Northern California as firefighters are struggle to contain at least 10 wildfires burning across the state. Red flag warnings are in place for much of Northern California, expected to last through Monday evening or Tuesday morning.

The warning includes the area where the massive Dixie Fire, California's second-largest fire on record, has been burning for over two months."
2085,Climate change: What's next at the UN?,"In 2015, many countries around the world agreed to try and keep global sea temperatures at certain levels in order to avoid catastrophic sea-level rise and lessen weather-related devastation.

But, as the United Nations General Assembly starts in New York, we ask, what's next?

CGTN spoke to Cassie Flynn, the strategic advisor on climate change at the United Nations Development Program."
2086,Scientists collect rare plant seeds from sinkholes in SW China,"The time around the Mid-Autumn Festival is the best season for collecting seeds.

Three months ago in the sinkholes in Mengzi City, southwest China's Yunnan Province, researchers from the Kunming Institute of Botany found two rare plant species, Petrocosmea grandiflora and Elaeagnus bambusetorum, which have been out of people's sight for more than 100 years.

At that time, they only collected specimens of the flowers and leaves, but now they're heading back to collect the seeds.

(Cover image is a screenshot)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2087,Bees kill dozens of endangered penguins in South Africa,"A swarm of bees has killed 63 endangered African penguins on a beach outside Cape Town, the Southern African Foundation for the Conservation of Coastal Birds said on Sunday.

African penguins, which inhabit the coast and islands of southern Africa, are on the International Union for Conservation of Nature's red list, meaning they face a high risk of extinction.

The death of these penguins is a very rare occurrence. ""After tests, we found bee stings around the penguins' eyes,"" said the foundation's David Roberts, a clinical veterinarian. And dead bees were also found on the scene.

The protected birds, found on Friday, were from a colony at Simonstown, a small town near Cape Town. The area is a national park, and the Cape honey bees are part of the ecosystem. ""The penguins ... must not die just like that as they are already in danger of extinction. They are a protected species,"" said Roberts.

The South African National Parks said the birds were taken to the foundation for post-mortems and samples sent for disease and toxicology testing. ""There were no external physical injuries found on any of the birds,"" a park statement said. The post-mortems showed all the penguins had multiple bee stings.

(Cover image via CFP)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2088,The Great Herbs: Female ginseng,"Legend has it that in ancient times there was a young man named Wang Fu who lived with his mother and made a living by farming and collecting medicine. Hundreds of kilometers away from home, there was a huge mountain, said to grow many magical herbs, but few people dared to go there because of the rough roads, poisonous snakes and wild animals. Fu wanted to go up the mountain to find the magic medicine, but his mother advised him to go after marriage. Fu followed his mother's wishes. One day after his marriage, his neighbors talked about him behind his back, saying that he was too timid to go to the mountain. When the word reached Fu's ears, he made up his mind to explore the mountain. Fu said to his wife, ""If I don't return after three years, you can marry another man."" The next day, he went up the mountain.

Three years passed, and Fu hadn't come home. The mother thought he must be dead and advised her daughter-in-law to remarry another man at her son's request. However, less than half a month after the remarriage, he came back with a full load of rare medicinal herbs. After hearing about his wife's remarriage, he was deeply distressed and regretful and gave all the herbs to his wife. From then on, the wife was so sad that she became sick with melancholy and had irregular periods. She was so distressed that she tried to eat the herbs all in an attempt to poison herself to death. Unexpectedly, instead of dying, her periods became regular. The herb Wang Fu picked is called Dong quai (also known as Female ginseng).

In ancient times, Dong quai has the meaning of ""thinking of husband"" since its Chinese name ""Danggui"" is short for ""Ying Dang Gui Lai"" (""should return""), according to ""Compendium of Materia Medica.""

As Li Shizhen wrote in ""Compendium of Materia Medica,"" (Ben Cao Gang Mu) , Dong quai mainly cures headaches, heart and abdominal pain, ulcers, and it has the effect of discharging pus and relieving pain, and replenishing blood. According to the ""Chinese Pharmacy Dictionary,"" it's clinically used in the treatment of diseases such as muscle, joint pain and neuralgia, chronic tracheitis, chronic pelvic inflammatory, menopathy and hypertension."
2089,Volcano erupts on Spanish island of La Palma,"A volcano erupted on the Spanish Canary Island of La Palma on Sunday, the islands' government said.

A huge column of smoke rose up after the eruption at 3:15 p.m. local time (1415 GMT) in the Cumbre Vieja national park in the south of the island, according the Canary Islands government.

Just before the eruption, authorities had evacuated about 40 people with mobility problems and farm animals from the villages around the volcano.

Soldiers were deployed to help with the evacuation, the defense ministry said, and it is expected that more residents will be evacuated from surrounding towns.

Ahead of the eruption, scientists had recorded a series of earthquakes reaching 3.8 magnitude in the national park, according to the Spanish National Geographical Institute (ING).

The earliest recorded volcanic eruption in La Palma took place in 1430, according to the ING.

In the last eruption in 1971, one man was killed when he took photographs near the lava flows but no property was damaged."
2090,Better environment benefits both wildlife and humans in Sichuan,"The growth of the wild giant panda population in Ya'an, southwest China's Sichuan Province indicates their living conditions have been improved and China's efforts to protect their habitats have paid off.



There are more than 50 giant pandas in the Ya'an Bifeng Canyon Panda Base and 1,864 wild pandas, and the numbers continue to grow, according to Huang Zhi, deputy head of Administrative Office, China Conservation and Research Center for Giant Panda.

The population growth is attributed to the efforts to protect giant pandas' habitats.

Since 2019, nine coal mines were closed in Ya'an, phasing out 1.11 million tonnes of coal production capacity. With the improvements in the local ecology, the population of wild giant pandas is also on the rise.

The improved ecology has not only provided local villagers with a better living environment, but also created opportunities to earn more money.

In Ya'an's Zhougongshan Township, towering green stalks form a vast stretch of bamboo sea with an area of nearly 3,300 hectares, purifying the air, conserving the water and soil, and serving as an industry for local villagers to make extra money without leaving home to look for jobs."
2091,Daily life of Yunnan snub-nosed monkeys in SW China,"Baima Snow Mountain Nature Reserve in southwest China's Yunnan Province is a major habitat for Yunnan snub-nosed monkeys. The animal, with pink lips and a Mohawk hairstyle, lives at the highest altitude that any primate (apart from humans) can survive. Let's take a look at these photos of Yunnan snub-nosed monkeys taken in Baima Snow Mountain Nature Reserve to learn more about the daily life of these lovely creatures."
2092,International Red Panda Day: Protect our cute fluffy friends,"Do you know that red pandas were given the name ""panda"" about 50 years earlier than giant pandas?

Like their black-and-white counterparts, red pandas love bamboo, but they also eat fruit, flowers and eggs. It is said that the name panda comes from the Nepali word ""ponya,"" which means bamboo or plant eating animal.

There are now two distinct red panda species: the Chinese red panda and the Himalayan red panda. They look almost the same. However, Chinese red pandas have redder fur and striped tail rings, while Himalayan pandas have whiter faces. In China, red pandas mostly inhabit the southwestern provinces of Sichuan and Yunnan.

International Red Panda Day is celebrated on the third Saturday of September each year. Classified as endangered on the IUCN Red List, there are fewer than 10,000 red pandas living in the wild with the largest threats listed as poaching and loss of habitat. They are now under second-class state protection in China."
2093,Brush of autumn gradually paints China yellow,"When the summer ends, the brush of autumn paints the northern hemisphere from the north to the south. The farmland in Jinzhou City, northeast China's Liaoning Province is now a bright golden color, representing the harvest season and a wealthy year. At the same time, the ""most beautiful countryside in China,"" Wuyuan County in east China's Jiangxi Province, is still green and misty. It has to wait until October for the autumn to dye it yellow.

Watch this video from Weather China, the China Meteorological Administration's online weather service, to find out more.

(Cover image via CFP.)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2094,Extreme heat destroys Greece’s mussel harvest,"The climate change crisis has laid waste to the mussel harvest in Greece, as mollusks end up getting boiled within their own shells, leaving farmers who depend on the harvests little option. Take a look at the damage."
2095,Peppers boost incomes for farmers in NW China's Shaanxi Province,"Growing Sichuan peppers has spiced up the income for farmers in Luanmake Village, which locates in Yan'an City in northwest China's Shaanxi Province over the years.

Sichuan pepper is a popular spice over the country. It is indigenous to Sichuan Province but is also planted in Shaanxi. It is used in authentic Sichuan cuisine in almost every dish from hotpot and soups, to stir-fries and dipping sauces.

Recently, farmers of the village have been busy harvesting the pepper.

""This year, the peppers have good quality. I have hired more than 10 people to harvest the peppers. This year's income is estimated to be 120,000 yuan (about $18,650),"" said Xue Haiwang, a Sichuan pepper farmer.

The village has organized locals to grow the spice because the area happens to have favorable soil and climate conditions for the peppers. In addition, the plant can yield a handsome return at a low cost, according to a local official.

At present, the village has planted over 60 hectares of peppers, which is expected to yield 12,000 kilograms this year."
2096,An Amur tiger undergoes an X-ray on his spine,"Staff at Yorkshire Wildlife Park were relieved when a 12-year-old tiger Vladimir woke up from a risky medical procedure. The big cat has a curve in its spine that causes him discomfort, so to check the problem, he has to be under anaesthetic.

As the procedure could cause the tiger to hallucinate or even stop breathing, the team leader described the process as a ""heart-in-the-throat situation"". The tiger is recovering well from the anaesthetic, and has to undergo a check once a year to make sure his condition has not progressed.

The Amur tiger is one of the word's most endangered animals, and is mainly distributed in the forests of eastern Russia and northeast China. A pilot Northeast China Tiger and Leopard National Park has been built to help bring back the precious feline.

(All images via VCG)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2097,African environment ministers renew support for green recovery,"Environment ministers from the African continent on Thursday pledged mobilization of additional resources to accelerate a post-pandemic recovery that is green and inclusive.

Speaking at the 18th session of the African Ministerial Conference on Environment (AMCEN) that took place virtually, the ministers said that supportive policies, adequate financing and political goodwill is key to place the continent on a green and sustainable recovery pathway.

Barbara Creecy, South African Minister of Environment, Forestry and Fisheries and outgoing president of AMCEN, said that enhanced protection of habitats and climate financing will revitalize Africa's quest for green pandemic recovery.

""We can use environmental sustainability as a vehicle for post COVID-19 recovery in Africa. The continent should adopt green stimulus packages to support its journey towards low carbon growth pathways,"" said Creecy.

The meeting of African environment ministers held under the theme of ""Securing people's well-being and ensuring environmental sustainability in Africa"", was also attended by representatives of multilateral organizations and continental blocs.

Inger Andersen, executive director of UN Environment Program (UNEP) that has served as the secretariat of AMCEN since its inception in 1985, stressed that Africa's ability to overcome pandemic shocks hinges on green investments.

According to Andersen, the continent should enact progressive legislation and policies, promote investments in clean technologies and harness nature-based solutions to accelerate recovery from pandemic-linked economic downturn.

She said that Africa has a chance to rebuild its economies, strengthen climate resilience of communities if governments explore innovative financing toward renewable energy, pollution control and ecosystems restoration.

Abdou Karim Sall, Minister for Environment and Sustainable Development of Senegal and incoming president of AMCEN underscored the critical role of regional cooperation, sharing of best practices and policy harmonization to promote green recovery and restore degraded ecosystems in Africa.

Josefa Leonel Corriea Sacko, commissioner for Agriculture, Rural Development, Blue Economy and Sustainable Environment at the African Union Commission, said that investments in green recovery will unleash multiple benefits including food security, improved health outcomes and greater access to clean energy.

According to Sacko, a green recovery master plan for the continent once implemented fully will boost war against poverty, create new jobs, reduce negative impact of climatic shocks to livelihoods, improve peace and stability.

She said continental blocs have rallied behind green financing to help restore livelihoods devastated by the pandemic and promote climate-resilient development.

(Cover image via VCG)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2098,Step up climate action by learning from ozone layer protection,"UN Secretary-General Antonio Guterres on Thursday asked the world to step up climate action by learning from the success story of protecting the ozone layer.

""The Montreal Protocol began life as a mechanism to protect and heal the ozone layer. It has done its job well over the past three decades,"" writes António Guterres in his 2021 message on the UN website. He said that the cooperation we have seen under the Montreal Protocol is exactly what is needed now to take on climate change, an equally existential threat to our societies.

The Montreal Protocol is more than just an example of how multilateralism can and should work, it is an active tool to help meet the global vision for sustainable development, he said in a message for the International Day for the Preservation of the Ozone Layer, which falls on September 16.

Under the Kigali Amendment to the protocol, nations have committed to phasing down hydrofluorocarbons (HFCs), powerful greenhouse gases used as coolants. When fully implemented, the Kigali Amendment could prevent 0.4 degrees Celsius of global warming this century, he said.

Furthermore, the Kigali Amendment can also help increase food security. By reducing HFCs, increasing energy efficiency and creating more ozone- and climate-friendly technologies, the Kigali Amendment can bring sustainable access to vital cooling services to millions of people. Such services would reduce food loss in developing countries, where food often spoils before it can reach markets. Getting produce from farmers to consumers would help reduce hunger, poverty and the environmental impact of the agricultural sector, he said.

Another important benefit of expanding cooling is the storage of medicines and vaccines, such as COVID-19 vaccines, he added.

""The Montreal Protocol and the Kigali Amendment show us that by acting together, anything is possible. So let us act now to slow climate change, feed the world's hungry and protect the planet that we all depend on,"" said Guterres.

(Cover image via VCG)

(If you want to contribute and have specific expertise, please contact us at nature@cgtn.com.)"
2099,Stunning close-up photos of insects,"Insects are very important components of many ecosystems. Many are omnivorous, eating a variety of food including dead animals, plants and fungi. We can find insects in almost any conceivable habitat. Let's take a look at some insects through macro lenses. The photos were taken in southwest China's Chongqing Municipality."
